,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,Label
10,11,0.01342993,0.09586832,0.8907018,I'm 6'4 and my butt loves this taller than usual toilet. The flush is more than sufficient enough to get all the business down. I the oval shape gives more room when sitting down.,5,Positive
11,12,0.9385887,0.05442122,0.0069901543,I found the tack cracked and water all over in my bathroom. It's less than 6 months old since I purchased. I contacted manufacture customer service to get a replacement but their services are so slow. I have Glacier Bay Toilet in other bathroom and working fine for after decade. I am very disappointed.,2,Negative
12,13,0.5244296,0.43472695,0.040843472,my black toilet is up stairs but the tiles still needs to be repair and were still finishing up our black bathrooms but it has to take a while to get them done we just got our black toilets like the past year,5,Negative
13,14,0.88190526,0.10241354,0.015681207,"The cheap plastic seat is the only part of the toilet that is ""Biscuit"". The rest of the toilet is white, not matching the seat. I am disapointed that I paid and extra $70, just so I could have a toilet seat to somewhat match my vanity.",2,Negative
14,15,0.82518387,0.15788223,0.016933884,Came on here to see if I could buy just a replacement tank and literally saw the same thing happened to someone else!! Woke up and the back of our tank is cracked! Had alittle over 4 years.,4,Negative
15,16,0.95755744,0.036372192,0.0060703796,This toilet is trash woke up to the tank making a loud “pop” ran to the bathroom just to see the tank leaking all over the place,1,Negative
16,17,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
17,18,0.86142284,0.12596695,0.012610192,"Looks like they've changed the manufacturer's model number, and the new model isn't the same measurements and specifications as are on the website. Nor is it the same design- the base now has a hole in it, and the base is basically straight at the back instead of slightly inset. So... it doesn't fit in our bathroom without taking out trim and whatnot. In addition, there were several very obvious glaze imperfections that would still be visible when assembled. Returning.",2,Negative
18,19,0.0019113484,0.018309554,0.9797791,This toilet has met our expectations.We are very satisfied so far.,5,Positive
19,20,0.013668834,0.14705676,0.8392744,This toilet was reasonably priced and recommended by a plumber. We bought it because our old one got stained and we were selling our house. After installing the new one our house showed well and sold within 2 weeks @ full price!,5,Positive
20,21,0.001375629,0.029114671,0.9695097,Easy to jnstall and color goes great with my bathroom!,5,Positive
21,22,0.014552394,0.21767005,0.7677775,Simple and easy to install,5,Positive
22,23,0.008646994,0.06921766,0.92213535,"Bought 2, both went in easy. Although we did need to get a double wax ring for one to get a good seal. Both work and look great. Base is a little longer than previous toilets. Had to remove and trim base board in 1 bathroom. Also sits higher so needed to add risers to the over John so tank lid could be removed if need. Overall very satisfied.",5,Positive
23,24,0.0026688334,0.019492922,0.9778382,"I was pleased with how nice these looked once installed. Great less expensive option for a more “classic” look. They replaced two round bowl toilets, and although these have the elongated bowl, they still fit the space adjacent to the shower just fine.",5,Positive
24,25,0.031098688,0.48265937,0.486242,Easy to put togeather and install,5,Positive
25,26,0.970438,0.027236955,0.002325012,I purchased this commode about 1.5 years ago. It is now starting to fracture at the bottom of the bowl. This is not acceptable.,1,Negative
26,27,0.89390326,0.0950101,0.011086699,This toilet clogs easily.It doesn't have much capacity.I had to call the plumber within 1 week of purchasing.,2,Negative
27,28,0.0514278,0.2687135,0.6798587,The perfect toilet.,5,Positive
28,29,0.0047966572,0.07485398,0.92034936,"Bought this Toilet for the height.. Bought one before, so I liked it.. if it wobbles, just buy some spacers (plastic) here at Home Depot too. It flushes good and fast.",5,Positive
29,30,0.0017567113,0.014465852,0.9837774,I was pleased with the product and price.easy to put in place and was pleasantly surprised to see the float and all the flushing components in place and ready to use.Thank you,5,Positive
30,31,0.6259631,0.33452502,0.039511904,"This product is not meant to last. We weigh around 170 and 135 lbs and cracked at bottom. Pics attached. Be ready to replace in couple of years, u better off spending extra for better product.",1,Negative
31,32,0.15145215,0.43299246,0.4155554,If you are upgrading from a standard round Bowl then you are going to want to get a 16-inch supply line. Its taller than expected but it's nice to poop on.,5,Neutral
32,33,0.0037483922,0.036207244,0.9600443,"The Glacier Bay toilet works well. The flush and water use is efficient and the taller base is great, especially for someone over 5’10”. It is heavy and sturdy, requiring 2 for installation. Great toilet for the economical cost.",5,Positive
33,34,0.86758757,0.120209105,0.012203417,I installed a Glacier Bay 1.6g flush several years ago. This toilet does not flush quite as well as my older toilet.,4,Negative
34,35,0.8747256,0.1059383,0.0193361,Nice toilet but very little water in bowl. Water level is adjusted all the way up and still not enough water for efficient flush. No water savings on this toilet. Would return but a nightmare now that it's been installed. Very disappointed.,2,Negative
35,36,0.010204959,0.03530973,0.95448536,This toilet is made of concrete! It is twice as heavy as a regular toilet!! I love it. The tank lid fits weird keep wiggling it till it won't fall. Trust me it fits.,5,Positive
36,37,0.28175855,0.60873795,0.10950352,"Just installed this toilet. Everything installed easily, until it came to bolt down the tank. It comes with two wing nuts, that are impossible to turn. Had help at the time, so I loosened the middle nut, held the wing nut in place from the bottom and the other person screwed in the screw from on top. Then I tightened the middle nut. (I guess that’s why someone else left a review, that their tank doesn’t sit strait.) There is very little water in the tank. Will monitor how that works out. The flap when you flush, falls down the second you let go. Will play with that and see how it works out.",4,Neutral
37,38,0.12920281,0.3216932,0.549104,"I would say the bowl itself was nice however, the seat is made of very thin plastic. I was not able to see the seat until after I installed it. I went back to Home Depot and the manager let me get a different seat that was made better.",4,Positive
38,39,0.9621719,0.033752225,0.0040759025,Does anyone sit on these before they’re mass marketed? The inside edges of the seat are horrible! The pain is almost instant. Sharp edges do not belong there.,3,Negative
39,40,0.005593164,0.109131224,0.8852756,We installed it ourselves. It was not difficult and went pretty quickly.,4,Positive
40,41,0.0016361525,0.013766122,0.9845977,Works great...happy with my purchase.,5,Positive
41,42,0.023573194,0.40875813,0.5676687,Easy install,5,Positive
42,43,0.043590356,0.17806652,0.77834314,I recently visited my sister in Florida and she had a leaking toilet that turned out to be a cracked tank. I went to a nearby Home Depot and found a great deal on this Glacier Bay high efficiency toilet. It came complete with everything I needed for a full replacement and the installation was uneventful. This is a prime example that you don't have to spend a lot of money to get a high quality product.,5,Positive
43,44,0.8489437,0.12986897,0.02118729,"These inexpensive Glacier Bay toilets used to be great, and for the past decade I put them in all of my houses without ever having any problems. Something has changed, and they are now a disaster. The two I recently purchased were manufactured in March of 2019 in Mexico at Namce Ceramics, and the specs are all wrong. Perhaps they used centimeters in Mexico instead of inches, but the base is at least two inches shorter than it used to be. Even so, it might work except that the tank does not sit level on the base anymore. It is neither level from side-to-side nor front-to-back, causing it to pitch forward. This makes it very uncomfortable to sit on the toilet, and negates the elongation because urine splashes up onto the back of the seat. When one stands to urinate, one must hold up the seat the entire time because it will not stay up on its own. That would be a mere inconvenience, except that it's completely unsanitary since urine is on the back of the seat from those who sit to urinate. It's a disaster and I will no longer buy these toilets. Home Depot/Glacier Bay, please return to the previous manufacturer and specs for these toilets. It would also be nice if Home Depot would acknowledge that these toilets manufactured in Mexico are defective, and issue refunds to those of us who have purchased them.",1,Negative
44,45,0.0046132486,0.06882094,0.9265658,We have been replacing all of our old toilets with this model and it has worked well for our residents.,5,Positive
45,46,0.07795082,0.4745698,0.44747934,"1. dry assemble first.. include tank to toilet with gasket and screws! i didnt.. base installed, (bought and used thicker gasket per some other reviews.) added water per instructions. attempted to attach tank. see pic.. that aint centered. off to HD again.. opened next box, found next unit that had the hole centered between bolts. at home with new, trying to just use new tank.. but new tank hole is NOT centered front to back. ill unpack new base, perhaps the base is actually matched to the tank? if not, back to HD.. will tear open box and try to assemble IN store.. then I still get to return the two. oye.. this better work well once its installed.",1,Neutral
46,47,0.052774426,0.19076763,0.7564579,I really like the style that’s why I choose this one. It’s perfect size for my family. When I brought the first one I did not check it. The second I check . I misplace my receipt that’s why I never return it.,3,Positive
47,48,0.0108244205,0.10491043,0.8842652,"Fast flush and if by chance, but very rare, all does not make it down the pipe just flush again right away without waiting... It matches our sink color of Bone perfectly... We've had it a month now... A perfect replacement for our original toilet...",5,Positive
48,49,0.0042660856,0.038353153,0.95738083,Install was easy and toilet works great!,5,Positive
49,50,0.027013784,0.13668393,0.8363023,You could not beat the price. Looks elegant. It really brought the bathroom together. I have an immune disease so having a toilet at handicap height is important. As far as efficiency this is a keeper.,5,Positive
50,51,0.0025720666,0.027828168,0.9695998,"My customer wanted a quality toilet for an affordable price, so I went with this beauty! Very good flushing power for an efficient toilet! Quality porcelain casting, easy install, great product.",5,Positive
51,52,0.78396285,0.18944797,0.026589153,"I did not purchase this toilet solely based on price. I am willing to pay for quality. The HD toilet expert who helped us explained that all of the toilets are made in China and Glacier Bay is as good as any of them. I should have read the reviews prior to purchase. I purchased the toilet this past Saturday and installed on Sunday. Upon unwrapping the parts, I noticed there were some cosmetic defects on the bowl, such as drips from the glazing process and a spot where there was no glaze. Decided to overlook these cosmetic imperfections and went ahead and installed it. The top of the tank does not fit onto the tank and the tank did not sit properly on the bowl. I also noticed a chip at the bottom of the tank where it meets the base. The installation was not very easy either. In addition, if you are going from a shorter toilet to this higher toilet, you will need to get a longer water line. The plastic seat also does not sit evenly on the bowl. Will be returning this toilet ASAP. It did not meet my expectations. Not much quality control on this product. I cannot recommend this toilet but if you decide to buy this toilet, be sure to dry fit all parts first before installing.",1,Negative
52,53,0.028714055,0.40286562,0.56842035,Easy to install. All-in-one in box. Do not forget a hose to replace. Check the size of the hose. Connection to the wall should be 3/8 or 1/2 FIP.,5,Positive
53,54,0.0067955847,0.08161879,0.9115856,"Easy to install, completed in less than an hour with wife helping to line up floor bolts. Works fine.",5,Positive
54,55,0.002339197,0.024863694,0.97279704,"What a Great product for the price! It uses VERY LITTLE WATER to flush. I installed one in my restaurant, and three at my home in the master bed room, Main Bathroom and basement man cave . The height is really great, easy to get up and sit down on on the joints. I bought one in Bone Color to match our Main Bathroom , its a great color and matches well as you can see in the picture. It has been in my restaurant for 6 months and my water bill has gone down. There are at least 50 to 100 separate flushes every day.",5,Positive
55,56,0.0040368694,0.013639385,0.98232377,I love the quietness of this toliet. Perfect.. they were a great deal. Glad i didnt over spend.,5,Positive
56,57,0.7181887,0.26302165,0.01878961,Not sure if height of toilet was mentioned in description at time of order placement. Taller than previous unit. Too tall for me:/,4,Negative
57,58,0.0014338556,0.010389149,0.988177,"Looks great, easy installation, great service from my HD folks at my store! Prompt delivery.",5,Positive
58,59,0.007511398,0.13269685,0.85979176,Wish I would have ordered the next black toilet I think it was a Kohler for like $10 more look really Bold and Beautiful,3,Positive
59,60,0.007015825,0.035273436,0.9577108,Great toilet for the price. I think the seat is very comfortable. It flushes well. Overall height and design very well done. The only thing I wish it had was an anti slam seat. We purchased the black toilet over all the the black glazing looks great I do not see any imperfections.,5,Positive
60,61,0.007267189,0.046778284,0.9459545,"Nice toilet, flushes great. We replaced and older toilet with worn out guts and it flushes so much nicer. Thinking about replacing the toilet in the second bathroom with the same toilet.",5,Positive
61,62,0.009211128,0.038700085,0.95208883,"better than expected. easy to install, about an hour. flushes differently yet never had a single issue in the two months that we have had it. well worth the money and excited to see our water bill",5,Positive
62,63,0.010746969,0.12799361,0.8612594,Very easy to install.,5,Positive
63,64,0.0684491,0.38170418,0.54984665,Better then described,5,Positive
64,65,0.016428841,0.37062776,0.61294335,Easily assembled and to clean,4,Positive
65,66,0.011004364,0.109595574,0.8794001,The toilet installed easily. The instructions were complete. It functions well for the short time that we have had it. The seat could be improved.,4,Positive
66,67,0.033660572,0.13582723,0.83051217,Good toilet for the cost. Works well. Very easy to install. Says it's a 2.8 gallon flush but my unscientific tests show it uses just under a gallon to flush. Very quick flapper reset after handle is released. I cannot figure out how to adjust so the flapper stays open a second longer so I just keep the handle down an extra second when flushing.,4,Positive
67,68,0.4844463,0.43135613,0.08419757,"Five stars for looks, installation and cost. However, the flushing power for solid matter is questionable. If the flush handle is held till the tank nearly empties, it’s more than sufficient, but probably not the design plan. I have no way of comparing with another toilet of the same model, so I only rated 3 stars overall. I would like to know.",3,Negative
68,69,0.0017529493,0.017893644,0.9803535,"Excellent quality, easy install, and powerful flush. Very happy with purchase. We bought 2.",5,Positive
69,70,0.0036781102,0.039397705,0.9569242,As a retired plumber I’ve installed hundreds of toilets. Recently installed one for a friend and was so impressed I bought two for myself. Very good quality and flush.,5,Positive
70,71,0.16761424,0.36059365,0.4717921,replaced a badly cast old glacier bay toilet with this. This on sits level and doesn't have places in the bowl that are so thin they are nearly see thru. I'm sure this one will be a lot better.,5,Positive
71,72,0.006229069,0.1162984,0.8774726,I WALKED IN GOT GREETED PROMPTLY WITH SMILES. GOT ESCORTED TO WHAT I WANTED!! PLUS FREE MUSCLES! A WIN WIN HOME DEPOT……….,5,Positive
72,73,0.0031849141,0.06633296,0.9304821,Well packed and easy to install!,5,Positive
73,74,0.9829952,0.014370419,0.0026343206,"I wish I didn't even have to give this piece of junk 1 star! The seat and lid are a cheap piece of PLASTIC! The bowl sticks out so far that it looks more like elongated than it does round! Barely any water goes in the bowl - not enough to flush anything down!!! I measured 2"" of water from top of hole to top of water level! I HATE this toilet so much, I just feel like crying! Paid a lot of money to have it installed today, and now I can't take it back!",1,Negative
74,75,0.016120406,0.5081294,0.47575018,Just what we needed for the extra bathroom in the barn.,4,Neutral
75,76,0.0069258474,0.0704063,0.9226678,very happy with toilet.,5,Positive
76,77,0.0029669297,0.027891336,0.9691417,So far so good easy set up,5,Positive
77,78,0.035735656,0.41215363,0.55211073,No issues and installed without any problems.,4,Positive
78,79,0.0030764148,0.03187637,0.9650472,Delivered same day. Super easy install. Nice toilet overall.,5,Positive
79,80,0.043742582,0.5910045,0.36525297,Quality commensurate with price. Seems to do what it is supposed to.,5,Neutral
80,81,0.3893747,0.56199574,0.048629522,"Flushes ok, but does not hold very much water in the bowl.",3,Neutral
81,82,0.78564984,0.18112862,0.0332216,Changed wax donut 4 times thinking I wasnt getting it on correctly. Leaked every single time. Put my old toilet back on and didnt leak at all. Complete waste of money! Weak flush as well when testing it out to see if it was leaking.,1,Negative
82,83,0.029581865,0.15352093,0.8168972,Worked like a charm. This is my go to toilet.,5,Positive
83,84,0.475912,0.39963382,0.12445414,The toilet works fine but the seat is quite uncomfortable.,3,Negative
84,85,0.0042823227,0.039610237,0.9561075,Good unit nice looking,4,Positive
85,86,0.49744347,0.3380109,0.16454564,"Bought this mistakenly thinking we were buying the other similarly-titled 1.28gpf Glacier Bay toilet (which is worth the $179!) Looks nice, but OH MY GOSH don’t buy this thing if you ever plan on going #2 😭. I have 3 kids. We’ve had to ask them to avoid off these toilets due to their unique “feature” of capturing EVERY single mark. They've added a contraption to reduce the water level but, in doing so, dry-docked a section of the toilet meant to be underwater to capture certain “things.”",1,Negative
86,87,0.001729553,0.017739864,0.9805306,I believe it's the best you can buy in this price range. Appearance and performance is very good.,5,Positive
87,88,0.0074658305,0.24748631,0.7450478,"Stylish designed. Quick, quiet flush. We'll finished. Easy installation.",5,Positive
88,89,0.69647706,0.2668201,0.036702782,"Came in with a discolred tank top, no instructions on how to adjust the flapper, even with the flapper adjustment closed completely it still dosent provide enough H2O to flush well. Aside from this it came with the cheapest seat made. It slides off the toilet when you lean to the side.",1,Negative
89,90,0.59658307,0.30503008,0.0983868,"After just 2years it cracked under the rim. I cut my hand cleaning it. It never flushed well. I thought it didn't flush well due to less water, boy was I wrong. My new toilet america standard cadet 3 flushes like a champ. I am glad it broke. Now I don't have to brush skid marks after use. Also the TP used to get stuck on the porcelain and wouldn't flush with the first flush. Like I said peace of junk. I hope I don't get an infection from the cut",1,Negative
90,91,0.6202715,0.27673364,0.10299488,Bowl does not hold enough water to flush waste. Cant wait to replace it.,1,Negative
91,92,0.2321928,0.6262149,0.14159225,wow jm impress i was abke to install the toilet,5,Neutral
92,93,0.41990572,0.49111673,0.08897753,"The box has everything ready to assemble, the only problem is the seat does not auto close as they show in the online assembly instructions.",4,Neutral
93,94,0.29924867,0.42621168,0.2745396,"This model toilet works well, but it is too long and cuts away a lot of space in our bathroom.",4,Neutral
94,95,0.0050146137,0.07132668,0.92365867,easy to install and the end result being very efficient in water usage.,5,Positive
95,96,0.003999046,0.020180387,0.97582054,It was a proper purchase. Was easy to install and it works great. The extra size was a great improvement over the lower and smaller unit that was removed after 22 years use. Thank you.,5,Positive
96,97,0.0057007098,0.06462199,0.92967725,Quality product! Easy to install!,5,Positive
97,98,0.0038159972,0.067295425,0.9288886,"Easy set up and install, good flush and decent spot, good value for the price",5,Positive
98,99,0.07423517,0.80801576,0.117749035,Glacier Bay Purchase,4,Neutral
99,100,0.010225472,0.080009386,0.9097652,The toilet is pleasant enough as far as toilets go but the 5 stars are for the ample “flushing power”! That is what makes a toilet worthwhile…in my humble opinion that is!,5,Positive
100,101,0.02241959,0.4817318,0.4958486,The toilet has a strong flush,5,Positive
101,102,0.863691,0.1202246,0.016084384,"I bought this toilet, and after installation the tank was leaking, turns out the bottom of the tank has a small crack, and Home Depot will not send a replacement. I live 70 miles from Home Depot and I am 71 years old, and they want me to uninstall the toilet and to schlep it back to the store, humph, last time I shop at Home Depot.",1,Negative
102,103,0.011115778,0.06603369,0.92285055,Great toilet. Easy to install.,5,Positive
103,104,0.910146,0.08348515,0.006368839,The seat lid will not stay up for me urinating it has to be held up to use. The tank top pertruds out to far against the seat when raised. I am going to have to buy another seat.,3,Negative
104,105,0.52896285,0.37105784,0.099979326,Apparently 2 inches of water is the new normal for toilets these days. Sales person says it’s correct for the new “high efficiency” toilets. No way to change it either. I probably would of kept my old toilet if I had known that the bowl only fills up 2 inches!,2,Negative
105,106,0.85527873,0.13064475,0.01407648,NEVER BUY THIS TOILET,1,Negative
106,107,0.02987882,0.38669953,0.58342165,toilet easy to install,4,Positive
107,108,0.003104583,0.03362266,0.96327275,"just needed some basic tools, everything else was already assembled. Awesome!",5,Positive
108,109,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
109,110,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
110,111,0.45407188,0.47287753,0.07305056,"The toilet clogs very easily and then is difficult to unclog. The flush is in two stages depending on how far you push down on the flush handle. The 1st stage runs water into the bowl and into the siphon providing a fairly aggressive flush , but its to short of volume to move stools past the goose neck much of the time. The 2nd stage emptys about half the tank with rest of tank water not going anywhere. I plan to remove the toilet and try and return it for a refund. I had a plumber out to check the main line and ream it with a snake to the street a week or so prior to receiving this toilet. .",1,Neutral
111,112,0.006041791,0.13678925,0.857169,the video was clear with instructions and good visual images to follow,5,Positive
112,113,0.005243107,0.048252832,0.94650406,Great toilet and it came with everything to install it🌹,5,Positive
113,114,0.0075512333,0.19949226,0.79295653,Easy to order and pick up; had installed by a pro,5,Positive
114,115,0.0028670444,0.034990154,0.9621429,very user friendly. i especially like how you can repeat each step.,5,Positive
115,116,0.011834821,0.06370634,0.92445886,Very good toilet at very low price. Strong flush . . . even if you don't press the lever down all the way it takes everything. Do not press it down all way in order to save additional water. It was easy to assemble and install . . . good instructions. The toilet seat could be more solid. Recommend it to anyone.,4,Positive
116,117,0.013005715,0.12557495,0.8614193,"Excellent toilet, right price range",5,Positive
117,118,0.85239875,0.13768472,0.009916446,The power behind the flush is not as good as I had hoped.,4,Negative
118,119,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
119,120,0.8232026,0.13633285,0.040464558,"I bought these for my recently purchased home. Steath mode sounded good, so i want to tried. You need to flush at least 4,5 times for some floating stuff. They never go, just stay there. Its so annoying and frustrating. I will replace it as soon as i can",1,Negative
120,121,0.021120375,0.24839434,0.73048526,Very basic toilet...it works.,4,Positive
121,122,0.0036490404,0.07386932,0.92248166,Easy. All parts arrived in good shape.,5,Positive
122,123,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
123,124,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
124,125,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
125,126,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
126,127,0.0014828298,0.0083367,0.9901805,This was a great purchase! I would recommend.,5,Positive
127,128,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
128,129,0.27486902,0.45191982,0.27321112,"This toilet seems okay for urine only, anything else does not flush down. I don't know if it's not smooth or just poorly designed, but you will need to help the feces along. HIGHLY recommend another toilet.",1,Neutral
129,130,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
130,131,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
131,132,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
132,133,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
133,134,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
134,135,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
135,136,0.9268764,0.06765826,0.005465291,"very low quality seat, flange bolts too short",3,Negative
136,137,0.036837418,0.8194016,0.14376095,The tank tilts forward because of the workmanship.,2,Neutral
137,138,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
138,139,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,3,Neutral
139,140,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
140,141,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
141,142,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
142,143,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
143,144,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
144,145,0.00420995,0.09553775,0.90025234,works very well real water saver,5,Positive
145,146,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
146,147,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
147,148,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
148,149,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
149,150,0.01686936,0.6827206,0.30041003,Flushes and fills quickly,5,Neutral
150,151,0.0032700526,0.010973855,0.9857561,"Love this toilet, nice height, flushes great, good quality, comes set up with everything needed for easy diy install, im very happy with it, great price too. Get a better seat and its perfect.",5,Positive
151,152,0.0022927225,0.023342388,0.9743648,"These toilets work well, are affordable, and have plenty of flushing power. I highly recommend them.",5,Positive
152,153,0.04354234,0.07213661,0.8843211,"We purchased this toilet (4 total) because of the reviews. We've had Kohler toilets in the past and hated them. Their flushing system (at least the two we had) did not work well. These Glacier Bay toilets are awesome. They are sleek, comfortable but the best part is their flushing system. They are VERY efficient and powerful. With one flush you can flush down multiple amounts of toilet paper without having the toilet clog or leaving anything behind. I highly recommend!",5,Positive
153,154,0.006015218,0.039081004,0.9549038,Awesome quality and great price,5,Positive
154,155,0.0051749,0.03878679,0.9560383,Great toilet. Very efficient,5,Positive
155,156,0.008149753,0.08044848,0.91140175,Good price. Easy to use.,5,Positive
156,157,0.8877501,0.09560116,0.016648715,"The fact that I have to hold the toilet seat up while peeing is very annoying. Seeing that toilets are expensive, it is a good value for the price.",3,Negative
157,158,0.0021127157,0.02280166,0.9750856,"Excellent fixture for the price. I've purchased this type of toilet before for my downstairs bathroom. And so far it works great, while flushing and refilling quetly. It is a huge upgrade from the smaller stock fixture that came with this house upon being built.",5,Positive
158,159,0.03556476,0.14589682,0.8185384,Love it. My last toilet was so short this one is very tall. My feet almost don't touch the ground haha,5,Positive
159,160,0.94344795,0.049068328,0.007483724,"I bought two toilets last October and had a Home Depot subcontractor do the install. First of all,the subcontractor did not have water lines so my husband made a mad dash to the closest store to get them. There are only the two of us and used only 4 months and had to replace the fill valve on both toliets. Will not buy Glacier Bay again and will probably not use a Home Depot subcontractor again. Toliets and subcontractor were expensive and definitely not worth the expense. Very disappointing!",3,Negative
160,161,0.004537511,0.04382085,0.9516417,Good product and easy to install.,5,Positive
161,162,0.0022652266,0.009493747,0.988241,This product is the best,5,Positive
162,163,0.007326892,0.09558915,0.897084,"Easy to install. Comfortable seat,",4,Positive
163,164,0.037737053,0.15632354,0.8059394,Great replacement toilet didn't realize old fitting on water line was leaking til I changed toilet out. Saving on my water bill now. Nice and smooth flush,5,Positive
164,165,0.011267044,0.08644012,0.9022928,Works very well. Flushes everything.,5,Positive
165,166,0.16031386,0.6723548,0.16733135,"I returned the toilet because although the color on the box was white, the actual color was beige or light vanilla color. I wanted a true white toilet to match the sink counter top and bathtub.",3,Neutral
166,167,0.42205942,0.53275144,0.045189142,The installation was smooth but the floor bolts were not long enough and there were no nuts to stabilize the floor bolts to the metal flange. we reused the nuts and washers from the old bolts.,4,Neutral
167,168,0.0016478008,0.01889507,0.9794572,Great purchase! Easy to follow instructions once you download the app and the app can be used for other projects too.,5,Positive
168,169,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,5,Neutral
169,170,0.047107022,0.86244756,0.09044546,Rating provided by a verified purchaser,4,Neutral
170,171,0.090717025,0.39109293,0.5181901,"excellent fit, but will recommend issuing a bigger donut for this type of toilets. I had to buy a large size donut to stop a water leak.",5,Positive
171,172,0.005625439,0.025510171,0.9688644,Couldn't give a review until we got it installed. Works great! Price was right!,5,Positive
172,173,0.005914485,0.05428516,0.9398003,"Great toilet, easy setup and install.",5,Positive
173,174,0.9571571,0.038271908,0.00457109,"I waited 2 weeks for my toilet and when I went to pick it up, it had a crack. They had to re-order it and it is almost 3 weeks and it still isn't here yet. I am very disappointed.",1,Negative
