,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,Label
10,11,0.07308206,0.20559448,0.72132343,"The toilet is easy to install, however the tank needs to be positioned carefully and only tighten the bolts alternatively or it will not be flush with the base. The instructions do mention this so follow the directions and you will be fine. I waited 2 weeks to write this review to ensure the toilet works as advertised and to determine if it leaks like some reviews mentioned. I haven't had any issues at all and it flushes very well. Perhaps the leaks are a consequence of not following the instructions carefully and the toilet not being installed properly. I'm very happy with this toilet and the way it looks. It comes with everything you need except the supply line. I used the 12 inch supply line and although it comes with a wax ring, I used a thicker one that has a 5 year warranty.",5,Positive
11,12,0.032154996,0.1726422,0.7952028,"Nice toilet for a no frills, basic toilet that gets the job done. The box this came in was a little beat up but the toilet was in perfect condition. It was fairly easy for 1 person to replace the old toilet with this. Make sure you turn off the water before you unhook the hoses. Almost forgot that step. This does come with wax ring so you don't have to buy one of those. Be careful setting it over the bolts that should already be coming out of the floor. If you hit it wrong you could break the toilet base. I recommend 2 people to put it in place if you have room to maneuver it. I like that it has a smaller tank. Takes up less room so I can fit a narrow cabinet next to it against the wall to hold cleaning wipes, trash bags, etc. The handle is a pretty shiny chrome and in the front not the side. I like that better. Easier to spray with disinfectant when cleaning. It comes with a toilet seat that goes slow as it auto closes. But you do have to sort of start the motion or it won't lower by itself. Might be a cool feature if people actually do close the seat/lids on toilet. It sits really nice in the small area it's in. I have an elongated in my bathroom and wanted the same size in the boys bathroom so they'll stop using mine since they like my larger one better. So far no complaints on this elongated one. Now if I can just get them to keep it clean.",5,Positive
12,13,0.42859054,0.42082986,0.15057962,"The Reliant 2 piece elongated toilet comes with floor bolts, bolt covers, wax ring and a seat so you have everything you need except for a new water supply line. The flush performance is surprisingly good for a 2 inch opening from tank to bowl. The description says the PowerWash rim scrubs the bowl clean with every flush. Sadly, I did not find that to be the case. Out of the box there was some small debris in the toilet bowl. Upon installing, I flushed three times and some of that debris on the side of the bowl did not budge. I had to gently swipe it with a piece of toilet paper to get it off the bowl. Based on this, the bowl scrubbing action of PowerFlush is not working as advertised on my unit. My other complaint is with the marketing that says the trapway is fully glazed. Looking into the trapway from underneath the toilet where waste will eject into the drain shows it is not glazed and the surface is rough. Perhaps this is a defect in my unit but if you are going to market this as a feature, every toilet should be checked to ensure it was properly glazed before it is boxed for shipping. I also found the underside of the rim where water exits to clean the bowl is not glazed. By having a rough and porous surface here, it invites mold growth. My particular model is standard height (15 inches) with a 12 inch rough in and the elongated bowl. My installation location is a 10 inch rough in. I did a lot of measuring to ensure the toilet would fit so I decided to install it in the 10 inch location. After installation there was a 1/4 inch gap between the tank and the wall which was acceptable for me. After a few days of use, no clogs and no need to hold the handle down during the flush cycle to force more water out of the tank during the flush. The toilet has a nice look and the slow close plastic seat is wonderful. I experienced no leaks after installation. While the toilet is working well after a few days of use, I cannot recommend it because the selling features of PowerScrub and a fully glazed trapway are not true for the unit I received.",3,Negative
13,14,0.006094176,0.029070146,0.96483576,"The American Standard Reliant toilet is a great toilet. It comes in 2 pieces(tank & bowl) with a slow close toilet seat included. Easy to follow instructions are included for the installation of the bowl, tank and seat. The installation is relatively simple and quick, but a customer service 800 number is provided if you have any questions. This toilet flushes everything down quickly and quietly. I haven't had any double flushes. And the refill is quick and quiet also. I love the slow close seat. I can't imagine not having one now.",5,Positive
14,15,0.010879274,0.0709227,0.91819805,"We chose this American Standard Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet with a White to replace our super small toilet from 1983. The old toilet had a good flush but couldn’t flush a lot because the size of the opening on the bottom. This toilet uses less water but flushed way more. I tried flushing 8 large wads of toilet paper like my son usually ends up doing and it flushed just fine. Installation was super simple, everything worked great first time with no leaks. Compact design works great for smaller bathrooms and children. My wife wanted this in our bathroom but I installed it in our sons bathroom because he is most likely to clog a toilet and it will be much harder now. I would definitely recommend.",5,Positive
15,17,0.0078329705,0.0623814,0.92978567,"When grandma has to use the plunger on your toilet, it might be a sign your old toilet needs to be replaced. Embarrassingly, my old toilet fit this description; it was not really a strong flusher and could easily get clogged. This American Standard toilet is not going to blow you away with any bells and whistles, but it does what it says it’ll do, and it does it well. I have not put it to the ultimate “gallon of golf balls” equivalent test yet, but it has easily handled what I’ve thrown at it, and I like how it looks in our bathroom. The internal hardware is your bare bones toilet accoutrement; no fancy dual flush or anything that will break easily or be hard to maintain when it does, which is good for long term maintenance. No proprietary parts that will cost 2x the generic stuff either. At just 1.28 gallons per flush, it’s pretty efficient even without the “dual flush” function other toilets have anyway. Everything needed to complete the install came with the toilet (minus the tools and perhaps a caulk sealer for the bottom, but that’s expected), so install was pretty simple as well. I did find a small blemish in the porcelain of the toilet bowl, but I don’t notice it unless I’m close to the toilet bowl to clean it. Getting super nit-picky, the seat itself might be a bit warped; one side does not lay perfectly flat on the porcelain ledge when the other side is. Speaking of the seat, it is fairly comfortable to sit in. It does not have a quick release function to help with cleaning around the hinge area, though, which would’ve been nice to have. I like that the bowl doesn’t have any extra “levels” and is smooth all around. Each flush sends a flow of water all around the toilet bowl to keep things fairly clean, and I like that the bowl has a decent level of water in it to hopefully catch stuff without leaving any…uh, skid marks. Overall, this toilet should be easy to clean and hopefully not require cleaning as often. The flush and tank refill are also pretty quiet, which is nice. Overall, I think this is a great toilet that should last many years. I have one other toilet that is about the same age as my old one that this replaced, so while I want to take a few more weeks to put this thing through its paces, this is definitely a strong candidate to replace that toilet as well.",4,Positive
16,18,0.020679975,0.16918722,0.81013286,"This is a quality standard toilet, with slow close seat and preinstalled valve. Nice features to have out of the box. Everything you need to install comes with it in the packaging, so it is pretty much ready to go, again, out of the box. Pressure for flushing seems to be highly optimized and does flush with with what seems to be higher and more consistent pressure. At I.28 gpf it counts as water saving since most toilets after ‘94 have 1.6gpf or higher. So this will go a long way to save water. I especially love the slow close plastic seat. I always replace the standard seats with slow close plastic ones, and I find them to be more comfortable. So it’s nice that a toilet finally comes packed with one. Valve is pre installed, it’s a two piece setup so just bolt on the tank, put wax ring on, and finish up. All instructions included. Very nice, very efficient toilet. Put this into a new house I am building and am very satisfied with the quality.",5,Positive
17,19,0.006402497,0.13904335,0.8545542,We are in the process of replacing all our normal toilets with this type of “golf ball” flushing toilets. While still only using 1.28 gallons per flush they flush with much more pressure and do not get clogged nearly as much. Plus that pressure helps keep the toilet itself looking cleaner. We really like this toilet and would recommend it to anyone. The only short fall of this toilet and most new toilets sold today is it comes with a very light weight plastic seat. I bought and use a much sturdier soft close seat. They don’t cost much and can be found at Home Depot.,5,Positive
18,20,0.007932815,0.05002256,0.9420447,American Standard has been producing quality bath fixtures for a many years and we have DIY'd there products in several of the homes we have lived-in. We chose to continue that tradition with the American Standard Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White. This is a complete toilet kit. All you need is a toilet ring and the connection for water to the tank. The valve mechanism is preinstalled and the slow-closing seat with the modern design just makes for a nice looking clean install.,5,Positive
19,21,0.002129363,0.02755692,0.9703138,"Very good, reasonably priced toilet. Had to purchase a new toilet as I had cracked the tank on the one it replaced. I swapped the included fill and the flush valves with the ones in the old toilet. Those were an upgrade to higher end fill valve and an adjustable height flush valve to support our dual flush system. The instructions were good and the installation went without a hitch. Much better flushing action than our old Perfect Flush toilet.",5,Positive
20,22,0.0013512308,0.015195381,0.98345345,"Reasonably priced, easy to install and works great. Put one in my half bath and liked it so much I bought another and installed it in my kid's bathroom.",5,Positive
21,23,0.0019560806,0.04683552,0.9512084,"So far, so good with the new toilet. It is efficient and is fits well into a smaller bathroom.",5,Positive
22,24,0.002455213,0.015346101,0.98219866,"Solid looking and elegant. Fits my tush well, being on the bigger side.",4,Positive
23,25,0.06803076,0.5396961,0.39227316,Gorgeous piece. Easy install. No missing parts. And 1.28 gpf is a win!,5,Neutral
24,26,0.004802221,0.068569414,0.92662835,"Easy to install. However, no bolts for tank to toliet connection. Had to by bolts at home depot",5,Positive
25,27,0.019899357,0.39283702,0.5872636,Good value for the money!,5,Positive
26,28,0.002601835,0.029961823,0.9674364,Easy to put in place …clear instructions,5,Positive
27,29,0.07933898,0.64411473,0.2765463,Great Purchase! I looked through the other options and chose this one because it was and attractive shape and flush volume. The install went quickly and has flushed cleanly and quietly every time.,5,Neutral
28,30,0.04793663,0.23438022,0.71768314,Fast flushing everything!,5,Positive
29,31,0.014240458,0.3267814,0.6589781,"It's a toilet and being American Standard I know it'll be around many years, However, it is a shortie! it is very low to the ground. Luckily it is just in the extra bathroom in the basement, it is too short, IMO. Otherwise, a great toilet!",5,Positive
30,32,0.011065849,0.105234936,0.8836992,"[This review was collected as part of a promotion.] Placed in guest bathroom. Replace a slow acting toilet. Was easy to install. Fit space exactly where original toilet came out of. Used original connections, just used new wax ring for seal. Well fitting height.",5,Positive
31,33,0.046439886,0.2346407,0.71891946,"Works and looks fine. I haven’t tried flushing any golf balls like the box said, but it flushes just fine.",4,Positive
32,34,0.2654109,0.39601487,0.33857423,"Replacing a 35+ year old toilet that used 7 gallons with each flush, this one does a really good job using less than a quarter of the water. Have had it for about a week and it has never failed to deliver a good flush. The only problem we had was leaking between tank and bowl from the mounting bolt holes. The solution was a repair kit containing 4 larger rubber washers installed on both the inside and outside of the tank with additional nuts, with sealant on the rubber washer faces.",5,Neutral
33,35,0.029747725,0.44999006,0.5202622,"Was excited to find a Name Brand, STANDARD HT toilet with good ratings. THEN discovered the toilet is not glazed under the rim area having the jet openings, leaving it un-protected from stains and mold growth. Just a chalky, un-smooth ceramic surface. I confirmed with AS Cust. Serv. this is normal the product, so I'll be returning it. I'd rather pay more to get a fully glazed toilet than have toilet maintenance issues later.",1,Positive
34,36,0.008319017,0.064639434,0.92704153,Everything was in the box easy install,5,Positive
35,37,0.006013049,0.051789325,0.9421976,"Sturdy, super easy to install.. it comes with all the necessary hardware. It flushes with a small amount of water, love the slow-close seat",5,Positive
36,38,0.0019119432,0.017912976,0.9801751,"I had it installed by contractors re-doing the bathroom. It works great. I'm glad I bought the Standard height, because we are not tall. It's a comfortable height and it flushes just fine, very water efficient. The seat that's included is good enough. The contractor told us that he has set up the electrical outlet to install a bidet seat in case we want to switch to a bidet seat in the future. Just mentioning it if you want to consider that.",5,Positive
37,39,0.0031771415,0.013683605,0.9831392,[This review was collected as part of a promotion.] We installed this toilet in our guest bathroom recently. I was very impressed with how good it flushes considering the gpf. It amazes me how Lixil keeps improving with technology to adapt to the need of saving water. I highly recommend this toilet.,5,Positive
38,40,0.5241822,0.37827036,0.09754744,[This review was collected as part of a promotion.] Awesome toilet! Installed as easy as any toilet but looks very nice with a clean appearance! Perfect height. I have elderly family and i was concerned they would be able to get off of it well but urns put there wasnt any issue at all. Overall a great toilet to add to any bathroom,5,Negative
39,41,0.0021900802,0.015083204,0.9827267,Internal parts set up so tank only fills 1/2 way resulting in about an inch of water in the toilet. There’s no water in the bowl. Hoping to hear back from American Standard. I paid a plumber to install. I can’t pull this out & return!,1,Positive
40,42,0.24411775,0.65500003,0.10088231,[This review was collected as part of a promotion.] I really like the toilet. The design of it works very well in our bathroom. Very easy install everything needed was included. The flush works very well much better than our old one. The finish seems to be well done.,5,Neutral
41,43,0.0015148083,0.007200285,0.9912849,"[This review was collected as part of a promotion.] Toilet was received with bottom half in the back broken. The box was sealed, no visible damage, it was on a pallet attached with banding intact. Opened box everything was packed tightly, there was banding inside as well, that was intact. The bottom rear of the toilet was broken in the box. No appearance of damage on shipping box.",1,Positive
42,44,0.0043257386,0.04981586,0.94585836,[This review was collected as part of a promotion.] This is a really beautiful looking toilet! It's sleek and we can't wait to have it installed. It has a very modern look which we love!! I will submit photos as soon as it's installed! My sister is remodeling and we recommended this toilet to her. Highly recommend!,5,Positive
43,45,0.0024286145,0.021518547,0.9760528,"[This review was collected as part of a promotion.] Another High quality toilet from American Standard! The elongated feature adds needed comfort with the included seat. The flushing mechanism is flawless and will certainly last a very long time. It's also very easy to install, even in tight areas and easy to clean.",5,Positive
44,46,0.0057913647,0.043128185,0.9510805,"[This review was collected as part of a promotion.] This Reliant standard toilet is a very good quality product and works great. My husband installed this in our master bathroom to replace our old one which needed to be updated. This one is very sturdy, built well, and it was easy to install.",5,Positive
45,47,0.0046576285,0.048129316,0.94721305,Perfect size and flush system works great!!! I replaced all three toilets in my home after we gave one of these a “test run!”,5,Positive
46,48,0.040981438,0.31040338,0.64861524,Installation instructions were good. All described parts were in the box and went together effortlessly. The toilet flushes nice and is relatively quiet. The flush valve and fill valve are all preassembled and were adjusted for water height perfectly.,5,Positive
47,49,0.0025885678,0.031059455,0.966352,"Price could have been better considering the cheap plastic seat it comes with, but overall, does what its supposed to, easy installation.",4,Positive
48,50,0.0018331297,0.0253113,0.9728556,Toilet works great. Flushes well,4,Positive
49,51,0.004177102,0.042313572,0.95350933,"Really nice size, just what I was looking for .",4,Positive
