,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,like,dislike,Label
36,38,0.028812842,0.12428462,0.84690255,"I’ve been a landlord for 35 yrs. I just installed this toilet in under TEN MINUTES! Great, considering thus happened at yhe end of a 14 hr day...",5,14,1,Positive
37,39,0.16074091,0.40775865,0.43150046,"This toilet, for the price, is FANTASTIC! It's heavier than the one I replaced. It uses minimal water. I think it would flush golf balls, but I'm on a septic tank and wouldn't try that. With my military discount, it was under $100 out the door, including tax.",5,18,3,Positive
38,40,0.0071776686,0.05470178,0.93812054,"I went to buy an Aquasource Henshaw but it's been discontinued & despite inventory showing several in the local stores no one could find them. This is the replacement, very similar in size & function. I didn't use the plastic seat that comes with the toilet, like the Church seats Lowes sells much better. The box that contains the wax seal also has the floor mounting hardware parts AA & BB but not CC & DD, those are in the bubble wrap bag with the toilet seat making them easy to miss if you aren't using the stock seat.",5,6,2,Positive
39,41,0.042514157,0.14848666,0.8089992,"The bathrooms in our house had the old fashion low toilets. We are doing new flooring in our home and decided to replace the 2 toilets and the guest bath vanity and light. It's amazing how spending under $300. we have 1 bathroom that looks like it's brand new and the other has a nice tall new toilet. The height makes a lot of difference when you get older or are tall. So much more comfortable. We didn't want a lot of bells and whistles, just the basics but taller. Great choice.",5,14,6,Positive
40,42,0.0047358815,0.020464035,0.9748001,"The fact that it was less than 100 bucks was a huge plus! Who the heck needs to spend so much on something that does this one thing? It was super easy to install, and the fact that it is chair height is great. Looking at the more expensive toilets this one uses the same amount of water . I just wish I would have remembered that I need a longer hose in the back since it is chair height",4,11,2,Positive
41,43,0.29089594,0.32557854,0.38352552,"The toilet and inner workings are beautiful and top quality. The included seat is cheap and flimsy, but at the price you can get whatever nice seat you want and still save money. Great buy and totally recommend.",5,12,1,Positive
42,44,0.004051495,0.055597503,0.940351,Good flushing toilet. Great proce. Only thing crappy is the cheap seat it comes with.,4,9,0,Positive
43,45,0.7880306,0.19111538,0.020854007,Great packaging and all items needed for installation were included.,5,14,1,Negative
44,46,0.006356454,0.06336228,0.93028134,"The only thing I have to complain about is the seat cover, is made with plastic vey thin and bends when i sit on it. I would advise to get a much strong one made of wood. Justin & Rita D.",4,12,1,Positive
45,47,0.004191915,0.016812297,0.9789958,Cheaper than others that were similar; works great,5,9,0,Positive
46,48,0.13674231,0.44999814,0.4132595,Replaced and OLD toilet with this one and it was great! I love how easy it flushes and that it doesn’t use a whole lot of water like the old one.,5,8,0,Neutral
47,49,0.010670238,0.22408737,0.76524234,"I purchased two of these toilets and installed them. Once they were installed, we quickly diacovered they didnt flush everything down as expected. After opening the lid, I discovered that the flap drops too quickly and the valve is so high that very little water actually is involved in the flush. Rather than remove the toilets and argue with lowes for a retuen, i purchased the fluidmaster 3” valve kit for $16.98. The swap is relatively simple and only requires removing the bolts holding the tank to the base. In total, its about a 10-15 minute fix. Make sure to adjust the flapper to 10 so it stays open longer for a better flush. In the end, the toilet now works but at an additinal cost, time, and effort. I cannot recommend tbis toilet.",2,12,11,Positive
48,50,0.019734409,0.059932925,0.92033273,"Plain, complete, easy assembly, reasonable price, functional.",5,8,0,Positive
49,51,0.86699516,0.12173013,0.011274753,"I like everything about this toilet, even the price",5,8,0,Negative
50,52,0.8370513,0.13504682,0.027901841,"bought 2 in a row, both defectives, toilet seat leak internally and dont hold water level . don recommend.",1,7,0,Negative
51,53,0.017666226,0.16880181,0.813532,"Builder grade crap, literally. Usually takes two flushes as the flushing power is so poor, even for the ladies after a #1, as it often times can't manage to get the tp down. And, if you #2, be sure you have a brush handy as it sticks like glue (sorry to be graphic). They were installed in our new house. Four months later we're replacing them. It might make a decent planter. But, as a toilet, it's horrible. There is a reason why the price is so low. Pro Flow No Go!",1,25,18,Positive
52,54,0.0025421183,0.019811494,0.9776464,its higher up and easier to stand up since I have bad knees and it works like a charm,5,11,1,Positive
53,55,0.6897973,0.28748092,0.02272186,Great product! Our older or disabled residents especially appreciate that it sits up higher than a standard toilet making it easier to get on and off of. Great price point compared to like products available.,5,6,0,Negative
54,56,0.14282468,0.3533746,0.50380075,I drove around trip 50 plus mile to purchase 3 comodes and 2 had broken base. I then had to replaced them at my local lowes store and had to buy the 119 dollars ones.,1,6,0,Positive
55,57,0.0022774572,0.017676655,0.9800459,"Easy transaction, painless install. Everything works like it should. For those of you complaining about the toilet seat and how chincy it is, you bought the cheapest toilet available at Lowe's. Go use the money you saved and buy yourself a frou frou toilet seat of your liking. You get what you pay for. It flushes both numbers just as it should.",5,9,2,Positive
56,58,0.007153167,0.08981858,0.90302825,"great product. installation was easy and works perfectly. We needed an off white color, and the color was PERFECT.",5,6,0,Positive
57,59,0.82116693,0.15569903,0.023134066,Install was easy and looks as good. as a $300 toilet. I bought it for a rental property so we'll see how it holds up,3,6,0,Negative
58,60,0.0050490354,0.029011086,0.9659398,"Replaced my toilet with this item. Easy install. The only thing I do not like it the way the tank fits on it is not the most secure feeling. The warranty card stated limited lifetime, but time will tell. At least the base is pretty stout",4,15,4,Positive
59,61,0.004043392,0.03534138,0.9606152,The price is great and it is chair height and flushes well. What more can you ask for,5,6,0,Positive
60,62,0.028034665,0.13429864,0.8376667,Best flushing toilet I have ever purchased. Easy to Install. Great Price!,5,6,0,Positive
61,63,0.0018351143,0.017802415,0.9803625,Love the old fashion flush. Easier and cheaper to clean and maintain,5,6,0,Positive
62,64,0.34033003,0.6265457,0.033124257,Great value for a solid product with flush power! Impressed!,5,6,0,Neutral
63,65,0.56317973,0.3896965,0.047123753,Came with plastic bolts we replaced with standard bolts,5,6,0,Negative
64,66,0.9138963,0.0789881,0.007115565,"I was looking for the handicap height toilet. The boxes were marked chair height and standard height. I asked an employee who was not very knowledgeable and in too big of a hurry to help. Even though the chair height one I purchased is taller than the standard height, it is not the handicap height",4,7,1,Negative
65,67,0.0030308277,0.017875558,0.9790936,"Product was broken upon arrival. The delivery drivers didnt even get it off tge truck. The box was all smashed up, tgey ooened it and found the problem. Not sure why they would put this on the truck without checking it when there was obvious damage to tge box when loaded.",1,4,0,Positive
66,68,0.002831804,0.007718843,0.9894493,"Since you don't buy a toilet often, I did a lot of research. I found this brand got excellent reviews, and so far I agree. I haven't had it long so this is what I think. It is sleek looking and has a powerful flush, which is great! The seat is plastic but nice looking. The plumber liked it. I think I made a wise choice!",5,6,1,Positive
67,69,0.011565873,0.13322711,0.85520697,"I really love my new toilet , water save , powerful flash, the looks its wonderful",5,5,0,Positive
68,70,0.75688875,0.22053929,0.022571936,"Easy install, works just fine. Toilet seat is a bit cheap, plan on buying one when purchasing toilet to save yourself a trip.",5,12,3,Negative
69,71,0.007050889,0.14107352,0.8518756,"Does the job, but mediocre. Didnt come with the floor bolts or the nuts to secure them, or the caps to cover them. Had to run to the local hardware store since Lowes is so far away. Must have been packaged at the factory on a Monday…",3,12,4,Positive
70,72,0.0680862,0.22184166,0.71007216,"Just what I needed and it was in stock, which got me out of a bind.",5,10,2,Positive
71,73,0.002108605,0.030324427,0.96756697,"It's a solid toilet. Way better then the store-brand ones that were in my house from the Orange Box store. It is smaller than your regular toilet. Only complaint was that some of the toilet bolts and nuts seemed to be missing, nothing that $1 at Ace couldn't fix.",4,8,2,Positive
72,74,0.71089745,0.25782317,0.03127941,"Well made, flushes very well & uses little water, comfortable height. Have bought 3 and highly recommend them.",5,7,1,Negative
73,75,0.0030691081,0.034602657,0.9623283,the water level in the toilet is not as high as expected. sometimes I have to flush twice. if the box was not destroyed I would have returned it two days later.,2,2,4,Positive
74,76,0.002282679,0.011353984,0.98636335,This was a easy install everything needed came with it. Gives a good flush. Good design and finish.,5,4,0,Positive
75,77,0.94010997,0.055785894,0.004104111,It was easy to install and it works fine and the price was great. I'd buy it again in a heartbeat.,5,4,0,Negative
76,78,0.06058683,0.18428253,0.7551307,Factory defect tank leans to left tank lid does not fit even with tank. Not satisfied.,2,4,0,Positive
77,79,0.008810539,0.29097453,0.70021486,"Great value & quality for the price, just as good as toilets costing twice as much",5,4,0,Positive
78,80,0.017305542,0.2417825,0.74091196,Chair or “comfort” height is definitely worth any additional money,5,4,0,Positive
79,81,0.0023826647,0.022643466,0.97497386,This comes as a kit with everything included except the high pressure hose. The height is perfect and not low to the floor like the old ones.,5,6,1,Positive
80,82,0.008818162,0.044473212,0.9467086,"Great toilet for the price! It checks all of our boxes - chair height, elongated, water efficient. So far, the flushing capabilities have been fully sufficient :) We were even able to cover the cost with a rebate from our water service for upgrading to more efficient water use.",5,5,1,Positive
81,83,0.002378647,0.028205017,0.9694164,"My son had one of these toilets and I liked it so much I ordered one for our home. Our original one was short and round, used a lot of water to flush and still didn't do that great. This Project source toilet is a little taller, and flushes like a power flusher using very little water to do so. Itt seems to me it only uses approx. a half a gallon. The elongated shape seems to be more comfortable to set on. It was super easy to install and it only took about 10 minutes. It has everything you need to install except for tools. Very pleased with my purchase. You can't beat the price either.",5,0,0,Positive
82,84,0.0066588223,0.03588334,0.95745784,This purchase is a great value and works well. It is high enough that my mom can get up.and down easily.,5,12,5,Positive
83,85,0.02497568,0.08277351,0.89225084,"Looks good, actually, does not have that cheap bathroom vibe. The seat is decent too. No problems with installation. For the price i definitely recommend",5,7,2,Positive
84,86,0.8221806,0.1615603,0.016259084,"Have replaced three old style short toilets with $250 American Standard toilets. They work great and are very easy to keep clean. Have an upstairs guest toilet that also needed replacement. Saw this toilet for $99 and thought would give it a try. Much to my surprise it looks good and performs well. I’m not sure it will be as easy to keep clean since the finish doesn’t seem as nice, but for $99 it seems just fine!",5,3,1,Negative
85,87,0.07716748,0.111409195,0.8114233,"Ordered two toilets, both arrived broken. Tracking said they arrived together. In reality one arrived the day following the first delivery. I don't know if the breakage was because the product is cheaply made or just poor delivery service. The burden of the return was left to me. No genuine acknowledgement of the inconvenience. Decided to do business elsewhere.",1,2,0,Positive
86,88,0.9197748,0.072512485,0.007712711,"Easy to install, well made, looks great in the bathroom; love it! Only thing I don't like is tgat the lid is not a slow close",5,3,0,Negative
87,89,0.13124786,0.19880946,0.6699427,Required Parts missing. Asked Lowe’s about it and they gave parts that don’t fit it. Over all worst experience.,1,3,0,Positive
88,90,0.28790048,0.48582128,0.22627826,Excellent toilet for the guest bath. Great color and flushes large and disgusting waste products effortlessly,5,3,0,Neutral
89,91,0.011336975,0.18139067,0.8072723,The toilet flushes fine except it sometimes will not stop running. We have a holding tank and it is expensive to pump out.,3,8,3,Positive
90,92,0.0034933942,0.035360333,0.9611463,It's very comfortable to sit on very little effort to get on and off it.,5,3,0,Positive
91,93,0.005996306,0.14840022,0.84560347,"Nice toilet, inexpensive and chair height. It’s very easy to install.",5,3,0,Positive
92,94,0.0016041022,0.020173652,0.97822225,Came with everything neede for instalation. Wworks perfectn,5,3,0,Positive
93,95,0.0015079492,0.008574882,0.9899172,I bought two of these toilets and we are very pleased with them.,5,5,1,Positive
94,96,0.8623529,0.124611504,0.01303559,Great product for great price! I have been pleased!,5,3,0,Negative
95,97,0.03618469,0.19373298,0.77008235,We bought 4 of them because 2 were broken in the boxes. The plastic clips to bolt the base down are poorly designed. The floor flange bolts are not long enough. 1/4” longer would be better because the threads on the plastic nuts start 1/4” into the nut. Poor design.,2,2,0,Positive
96,98,0.012113726,0.048977703,0.9389086,I like that it seems to use less water in flushing and it takes less time for the tank to refill. I wasn't really happy with the height because I had had a handicapped height before but have gotten used to this chair height. I purchased it while it was on sale with a good price.,4,3,1,Positive
97,99,0.94854593,0.046872906,0.004581176,toilet kit installed quickly and works well with the exception of the toilet seat which seems flimsy and always on the move. Love the height of the toilet,4,2,0,Negative
98,100,0.007328829,0.03899426,0.95367694,Who knowingly packages and sells a toliet without a lid? It's been 5 months now and still on backorder. Shame on you!,1,2,0,Positive
99,101,0.5975404,0.31141216,0.09104751,"This Water Sense toilet works very well the tank top fits good, better than the tank top on a Kohler that it replaced. It flushes good also. It's a very good toilet for the money, no need to spend a lot more for a toilet when this does the job.",4,3,1,Negative
100,102,0.03137729,0.14099526,0.8276274,"This toilet came up on a search of ADA compatible items and the information calls it ""chair height"" and indicateds that it is good for people with disabilities and/or mobilty issues. That, to me, means it is a toilet that sits up higher (chair height???). When I got it home I discovered that the toilet bowl height is 16.5"" not the ADA recommended 20"" Now I have to load it back into the car and return it. Yuck! Probably a good toilet if you are not looking for a taller one.",3,6,19,Positive
101,103,0.732652,0.22136399,0.045984007,Excellent value! No need for expensive alternatives!,5,2,0,Negative
102,104,0.0015371875,0.017814774,0.980648,"The item is attractive; flushes well. However, the seat that came with the toilet doesn't fit. When seated, the bowl and the seat don't line up and, consequently pinch my leg. Hurts.",3,4,2,Positive
103,105,0.0013386171,0.01549901,0.9831624,"Good quality product at a fair price --- the installation team was very prompt, accommodating and professional. We definitely recommend them or use them again!",5,3,1,Positive
104,106,0.05225655,0.33132017,0.6164233,"Remodel the whole house and this was a perfect fit . Installed myself, went great!",5,7,5,Positive
105,107,0.9430984,0.052263994,0.0046376106,I prefer this type of commode seal over was wing especially when I know I will be removing and reseating the commode several times. It is a better method,5,3,1,Negative
106,108,0.7013644,0.28782934,0.010806228,"Cannot recommend. A majority of the mouting parts are plastic and do not reflect the images shown in the instruction. while securing toilet to the floor mount the plastic washers broke, turning the screws in the mount so the toilet is no longer secure. Replacing requires me to go get hardware AND a new wax ring because it is now ruined.",1,2,1,Negative
107,109,0.0067612324,0.2907639,0.7024749,The seat & close flap was broken at the back where you attach it,1,8,7,Positive
108,110,0.026364753,0.12171571,0.85191953,"Sleek, modern design. Lid fits snuggly on tank with no gaps.",5,3,1,Positive
109,111,0.7934811,0.18504159,0.02147733,I like it you sit on it and take a dump seems to be able to handle massive loads and lite loads with no problems the water flow to clean the bowl seems to be keeping up with the usage highly recommended by a serious user!!,5,1,0,Negative
110,112,0.0018061385,0.0129635325,0.9852304,"The bowl is far too high above the floor. Old toilet was 14"" this one is 17"" Legs go numb.",1,3,2,Positive
111,113,0.9133118,0.07433703,0.012351251,looks nice and works good so far easy to set would buy again,5,3,2,Negative
112,114,0.05526972,0.12774947,0.8169807,"Lesson learned don’t buy the cheapest Project Source toilet at Lowes. I was replacing our 15 year old toilet, expecting something that would flush super well and have no issues. Failed from the beginning. Zero instructions on the Fluidmaster guts included, so I spent an hour on my own researching how to adjust the water fill level. Then the stupid Fluidmaster 540 flapper…happens to be adjustable, so you should be able to adjust how much water for each flush. Nope. After finding out HOW to adjust it from between 1-10 on the stupid thing, it makes no difference. Slams right shut, so if you want any actual water for flushing, you can stand there and hold down the handle. Entire piece of junk is going back tomorrow. What a huge waste of time. I’ve spent thousands if not tens of thousands of dollars at Lowes over the years, but if this is the quality of their store brand, I’ll never touch it again. I’ll go buy one elsewhere.",1,2,3,Positive
113,115,0.0315344,0.2915494,0.6769162,"Good replacement toilet. Easy to install and nice looking. Would give it one more star but it was shipped without a tank to bowl gasket. It was a frustrating 4 days of back and forth emails with Lowes parts before they finally relented but then ordered the wrong part for shipment. Fortunately, Lowes customer service was extremely helpful and got the right part ordered for shipment within 20 minutes including wait time. Great service from the customer service team!",4,0,0,Positive
114,116,0.84040356,0.14555746,0.014038968,Product works perfectly according to daughter in law. Just make sure you get 2 wax rings one wasn't enough.,5,6,9,Negative
115,117,0.9337149,0.058937375,0.007347739,The toilet is of poor quility. The horn is very small,1,2,1,Negative
